Fs=250
t,x
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7
0.636,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165585.2321,-154114.4734
0.64,5389.586734,-11316.84468,-177025.1679,-176893.5385,5265.065165,89586.35057,18263.0516,36337.61094
0.644,3555.73786,-10461.24225,-177618.2714,-177637.9857,6594.47987,90724.05436,18321.47906,35887.24564
0.648,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165583.2205,-154115.7251
0.652,5264.61813,-11092.8802,-177246.2713,-177122.845,5441.733353,89780.49782,18351.76567,36308.79954
0.656,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165506.7775,-154060.181
0.66,3716.446902,-10658.33994,-177418.201,-177447.9735,6415.934135,90543.8099,18261.08465,35950.90341
0.664,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165575.8668,-154112.864
0.668,5082.272599,-11001.12629,-177412.7248,-177302.9777,5498.976171,89843.30622,18326.4188,36237.1175
0.672,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165507.4034,-154062.1703
0.676,3885.359035,-10802.0393,-177201.2549,-177215.4483,6287.053977,90399.35057,18189.71553,35962.63808
0.68,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165569.4071,-154110.6959
0.684,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165516.1206,-154069.5016
0.688,4130.222396,-11013.82208,-177000.7374,-177006.683,6072.119602,90180.25877,18152.38811,36029.49214
0.692,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165560.1982,-154105.4433
0.696,4603.006494,-10533.63955,-177814.5868,-177729.9184,6031.752352,90302.92515,18504.83042,36116.21691
0.7,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165526.8494,-154079.0682
0.704,4396.968114,-11126.27371,-176859.2062,-176853.1265,5949.922615,90059.82757,18188.62029,36111.5454
0.708,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165553.6938,-154102.8057
0.712,4363.820477,-10435.35893,-177960.8119,-177898.3835,6156.899769,90422.75285,18531.31724,36068.22772
0.716,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165531.208,-154082.1527
0.72,4653.722603,-11391.00777,-176668.8364,-176653.1902,5628.169254,89783.33649,18082.3601,36144.53657
