Fs=100
t,x
8.6,486
8.61,496
8.62,463
8.63,545
8.64,507
8.65,474
8.66,467
8.67,510
8.68,499
8.69,465
8.7,460
8.71,510
8.72,487
8.73,515
8.74,585
8.75,710
8.76,615
8.77,430
8.78,386
8.79,418
8.8,455
8.81,480
8.82,527
8.83,521
8.84,505
8.85,523
8.86,505
8.87,546
8.88,559
8.89,592
8.9,552
8.91,571
8.92,572
8.93,599
8.94,558
8.95,540
8.96,525
8.97,470
8.98,536
8.99,504
9,480
9.01,465
9.02,497
9.03,455
9.04,480
9.05,496
9.06,452
9.07,498
9.08,493
9.09,436
9.1,516
9.11,518
9.12,502
9.13,485
9.14,481
9.15,424
9.16,511
9.17,444
9.18,481
9.19,511
9.2,492
9.21,460
9.22,510
9.23,673
9.24,721
9.25,548
9.26,426
9.27,407
9.28,384
9.29,479
9.3,472
9.31,498
9.32,514
9.33,520
9.34,528
9.35,532
9.36,491
9.37,577
9.38,566
9.39,592
9.4,591
9.41,550
9.42,574
9.43,537
9.44,483
9.45,521
9.46,537
9.47,505
9.48,502
9.49,448
9.5,471
9.51,487
9.52,456
9.53,474
9.54,468
9.55,497
9.56,498
9.57,480
9.58,493
9.59,499
9.6,460
9.61,482
9.62,491
9.63,473
9.64,487
9.65,464
9.66,491
9.67,463
9.68,500
9.69,476
9.7,457
9.71,556
9.72,675
9.73,631
9.74,464
9.75,393
9.76,381
9.77,453
9.78,447
9.79,510
9.8,487
9.81,535
9.82,523
9.83,536
9.84,535
9.85,558
9.86,535
9.87,586
9.88,595
9.89,566
9.9,563
9.91,543
9.92,540
9.93,529
9.94,529
9.95,516
9.96,468
9.97,512
9.98,465
9.99,489
10,483
10.01,482
10.02,486
10.03,520
10.04,496
10.05,486
10.06,485
10.07,499
10.08,509
10.09,502
10.1,515
10.11,479
10.12,463
10.13,492
10.14,479
10.15,481
10.16,458
10.17,454
10.18,462
10.19,569
10.2,704
10.21,659
10.22,468
10.23,365
10.24,401
10.25,413
10.26,460
10.27,498
10.28,518
10.29,512
10.3,520
10.31,526
10.32,528
10.33,530
10.34,586
10.35,577
10.36,552
10.37,575
10.38,550
10.39,568
10.4,506
10.41,548
10.42,493
10.43,538
10.44,493
10.45,495
10.46,515
10.47,484
10.48,468
10.49,462
10.5,505
10.51,494
10.52,476
10.53,496
10.54,468
10.55,494
10.56,463
10.57,527
10.58,523
10.59,475
10.6,483
10.61,448
10.62,473
10.63,495
10.64,502
10.65,493
10.66,423
10.67,513
10.68,657
10.69,690
10.7,603
10.71,388
10.72,390
10.73,413
10.74,444
10.75,491
10.76,491
10.77,470
10.78,520
10.79,511
10.8,535
10.81,556
10.82,542
10.83,564
10.84,556
10.85,582
10.86,570
10.87,553
10.88,569
10.89,536
10.9,508
10.91,526
10.92,491
10.93,481
10.94,465
10.95,503
10.96,487
10.97,463
10.98,494
10.99,483
11,479
11.01,467
11.02,501
11.03,492
11.04,502
11.05,504
11.06,511
11.07,485
11.08,491
11.09,471
11.1,467
11.11,486
11.12,473
11.13,510
11.14,481
11.15,472
11.16,518
11.17,620
11.18,674
11.19,524
11.2,390
11.21,401
11.22,416
11.23,468
11.24,472
11.25,497
11.26,507
11.27,515
11.28,532
11.29,543
11.3,535
11.31,542
11.32,549
11.33,571
11.34,561
11.35,573
11.36,560
11.37,534
11.38,505
11.39,540
11.4,511
11.41,482
11.42,497
11.43,481
11.44,504
11.45,488
11.46,483
11.47,496
11.48,491
11.49,475
11.5,489
11.51,486
11.52,504
11.53,510
11.54,493
11.55,480
11.56,444
11.57,484
11.58,489
11.59,495
11.6,492
11.61,494
11.62,484
11.63,414
11.64,534
11.65,629
11.66,682
11.67,556
11.68,418
11.69,381
11.7,391
11.71,446
11.72,487
11.73,492
11.74,518
11.75,516
11.76,502
11.77,547
11.78,525
11.79,546
11.8,562
11.81,590
11.82,571
11.83,543
11.84,566
11.85,551
11.86,529
11.87,529
11.88,513
11.89,494
11.9,481
11.91,489
11.92,501
11.93,483
11.94,462
11.95,489
11.96,473
11.97,493
11.98,468
11.99,504
12,500
12.01,499
12.02,516
12.03,486
12.04,468
12.05,483
12.06,468
12.07,480
12.08,453
12.09,473
12.1,501
12.11,463
12.12,471
12.13,598
12.14,725
12.15,623
12.16,431
12.17,349
12.18,368
12.19,445
12.2,458
12.21,502
12.22,508
12.23,518
12.24,510
12.25,508
12.26,544
12.27,558
12.28,515
12.29,591
12.3,556
12.31,585
12.32,572
12.33,553
12.34,529
12.35,556
12.36,508
12.37,504
12.38,487
12.39,504
12.4,485
12.41,473
12.42,484
12.43,446
12.44,505
12.45,475
12.46,473
12.47,489
12.48,513
12.49,487
12.5,496
12.51,500
12.52,510
12.53,474
12.54,499
12.55,476
12.56,485
12.57,501
12.58,499
12.59,490
12.6,465
12.61,453
12.62,513
12.63,631
12.64,690
12.65,568
12.66,425
12.67,388
12.68,423
12.69,421
12.7,494
12.71,509
12.72,511
12.73,525
12.74,501
12.75,547
12.76,535
12.77,534
12.78,546
12.79,579
12.8,557
12.81,585
12.82,566
12.83,535
12.84,499
12.85,524
12.86,494
12.87,499
12.88,506
12.89,481
12.9,479
12.91,484
12.92,461
12.93,467
12.94,464
12.95,496
12.96,478
12.97,521
12.98,492
12.99,481
13,512
13.01,491
13.02,487
13.03,472
13.04,487
13.05,492
13.06,472
13.07,494
13.08,493
13.09,427
13.1,489
13.11,608
13.12,681
13.13,577
13.14,382
13.15,413
13.16,418
13.17,451
13.18,505
13.19,506
13.2,480
13.21,542
13.22,513
13.23,535
13.24,545
13.25,547
13.26,559
13.27,560
13.28,577
13.29,578
13.3,567
13.31,585
13.32,550
13.33,519
13.34,496
13.35,496
13.36,466
13.37,518
13.38,485
13.39,482
13.4,486
13.41,455
13.42,491
13.43,480
13.44,502
13.45,511
13.46,478
13.47,469
13.48,516
13.49,483
13.5,479
13.51,482
13.52,478
13.53,485
13.54,458
13.55,505
13.56,462
13.57,462
13.58,512
13.59,635
13.6,674
13.61,553
13.62,383
13.63,389
13.64,426
13.65,444
13.66,495
13.67,506
13.68,514
13.69,500
13.7,508
13.71,540
13.72,527
13.73,522
13.74,570
13.75,539
13.76,561
13.77,578
13.78,550
13.79,555
13.8,507
13.81,519
13.82,536
13.83,472
13.84,481
13.85,497
13.86,493
13.87,494
13.88,481
13.89,473
13.9,479
13.91,486
13.92,492
13.93,488
13.94,470
13.95,492
13.96,492
13.97,511
13.98,499
13.99,515
14,490
14.01,473
14.02,488
14.03,483
14.04,489
14.05,489
14.06,486
14.07,448
14.08,527
14.09,640
14.1,730
14.11,555
14.12,409
14.13,371
14.14,428
14.15,458
14.16,478
14.17,491
14.18,519
14.19,520
14.2,538
14.21,522
14.22,542
14.23,568
14.24,562
14.25,552
14.26,564
14.27,564
14.28,581
14.29,545
14.3,518
14.31,547
14.32,522
14.33,500
14.34,483
14.35,483
14.36,497
14.37,480
14.38,467
14.39,502
14.4,513
14.41,472
14.42,498
14.43,484
14.44,502
14.45,494
14.46,497
14.47,491
14.48,492
14.49,439
14.5,502
14.51,484
14.52,490
14.53,479
14.54,485
14.55,450
14.56,451
14.57,545
14.58,651
14.59,585
14.6,446
14.61,386
14.62,399
14.63,426
14.64,448
14.65,496
14.66,542
14.67,507
14.68,508
14.69,536
14.7,534
14.71,577
14.72,569
14.73,570
14.74,604
14.75,572
14.76,569
14.77,583
14.78,529
14.79,525
14.8,506
14.81,499
14.82,464
14.83,504
14.84,476
14.85,504
14.86,504
14.87,518
14.88,509
14.89,482
14.9,466
14.91,480
14.92,478
14.93,519
14.94,493
14.95,480
14.96,482
14.97,486
14.98,470
14.99,499
15,482
15.01,464
15.02,466
15.03,448
15.04,523
15.05,618
15.06,686
15.07,561
15.08,427
15.09,369
15.1,433
15.11,450
15.12,492
15.13,548
15.14,506
15.15,609
15.16,487
15.17,496
15.18,494
15.19,539
15.2,546
15.21,575
15.22,562
15.23,557
15.24,553
15.25,535
15.26,528
15.27,494
15.28,481
15.29,502
15.3,494
15.31,463
15.32,467
15.33,476
15.34,468
15.35,485
15.36,477
15.37,509
15.38,481
15.39,475
15.4,463
15.41,491
15.42,502
15.43,486
15.44,465
15.45,468
15.46,453
15.47,475
15.48,472
15.49,462
15.5,480
15.51,481
15.52,483
15.53,600
15.54,684
15.55,533
15.56,399
15.57,362
15.58,410
15.59,463
15.6,500
15.61,498
15.62,540
15.63,519
15.64,518
15.65,519
15.66,550
15.67,552
15.68,563
15.69,576
15.7,575
15.71,565
15.72,554
15.73,531
15.74,547
15.75,547
15.76,513
15.77,499
15.78,499
15.79,483
15.8,481
15.81,475
15.82,509
15.83,491
15.84,481
15.85,478
15.86,505
15.87,496
15.88,476
15.89,491
15.9,486
15.91,496
15.92,480
15.93,484
15.94,497
15.95,478
15.96,478
15.97,499
15.98,486
15.99,455
16,446
16.01,553
16.02,694
16.03,671
16.04,475
16.05,336
16.06,398
16.07,435
16.08,475
16.09,470
16.1,504
16.11,522
16.12,529
16.13,518
16.14,526
16.15,540
16.16,554
16.17,559
16.18,583
16.19,580
16.2,555
16.21,571
16.22,547
16.23,526
16.24,508
16.25,485
16.26,465
16.27,489
16.28,472
16.29,457
16.3,456
16.31,464
16.32,473
16.33,455
16.34,469
16.35,460
16.36,477
16.37,471
16.38,466
16.39,479
16.4,508
16.41,489
16.42,462
16.43,459
16.44,487
16.45,485
16.46,487
16.47,478
16.48,467
16.49,450
16.5,566
16.51,715
16.52,644
16.53,463
16.54,355
16.55,393
16.56,444
16.57,482
16.58,509
16.59,512
16.6,521
16.61,524
16.62,520
16.63,550
16.64,551
16.65,540
16.66,594
16.67,583
16.68,579
16.69,604
16.7,573
16.71,542
16.72,500
16.73,533
16.74,540
16.75,495
16.76,495
16.77,501
16.78,467
16.79,481
16.8,460
16.81,494
16.82,500
16.83,492
16.84,513
16.85,476
16.86,499
16.87,495
16.88,511
16.89,478
16.9,458
16.91,506
16.92,493
16.93,492
16.94,488
16.95,492
16.96,475
16.97,459
16.98,516
16.99,611
17,662
17.01,531
17.02,401
17.03,394
17.04,405
17.05,440
17.06,495
17.07,495
17.08,509
17.09,530
17.1,546
17.11,496
17.12,534
17.13,569
17.14,562
17.15,561
17.16,550
17.17,567
17.18,580
17.19,537
17.2,533
17.21,499
17.22,493
17.23,487
17.24,498
17.25,494
17.26,480
17.27,502
17.28,453
17.29,478
17.3,480
17.31,526
17.32,474
17.33,526
17.34,502
17.35,465
17.36,505
17.37,458
17.38,464
17.39,489
17.4,505
17.41,496
17.42,468
17.43,481
17.44,482
17.45,449
17.46,526
17.47,679
17.48,680
17.49,524
17.5,393
17.51,382
17.52,427
17.53,436
17.54,507
17.55,489
17.56,500
17.57,562
17.58,551
17.59,522
17.6,504
17.61,555
17.62,582
17.63,580
17.64,580
17.65,556
17.66,568
17.67,565
17.68,551
17.69,488
17.7,514
17.71,469
17.72,462
17.73,496
17.74,505
17.75,455
17.76,502
17.77,513
17.78,507
17.79,473
17.8,491
17.81,483
17.82,503
17.83,512
17.84,502
17.85,478
17.86,493
17.87,488
17.88,472
17.89,527
17.9,480
17.91,498
17.92,455
17.93,480
17.94,583
17.95,716
17.96,684
17.97,483
17.98,373
17.99,410
18,412
18.01,444
18.02,521
18.03,479
18.04,528
18.05,552
18.06,545
18.07,555
18.08,569
18.09,548
18.1,555
18.11,591
18.12,575
18.13,565
18.14,575
18.15,558
18.16,552
18.17,492
18.18,503
18.19,496
18.2,492
18.21,504
18.22,475
18.23,502
18.24,496
18.25,483
18.26,492
18.27,491
18.28,494
18.29,531
18.3,497
18.31,495
18.32,461
18.33,497
18.34,490
18.35,473
18.36,460
18.37,462
18.38,476
18.39,496
18.4,457
18.41,446
18.42,412
18.43,509
18.44,652
18.45,723
18.46,566
18.47,398
18.48,355
18.49,409
18.5,395
18.51,488
18.52,484
18.53,503
18.54,531
18.55,511
18.56,511
18.57,507
18.58,528
18.59,580
18.6,583
18.61,541
18.62,587
18.63,550
18.64,517
18.65,541
18.66,527
18.67,496
18.68,483
18.69,513
18.7,472
18.71,483
18.72,487
18.73,448
18.74,522
18.75,471
18.76,462
18.77,484
18.78,485
18.79,477
18.8,520
18.81,484
18.82,509
18.83,486
18.84,467
18.85,489
18.86,496
18.87,470
18.88,478
18.89,492
18.9,485
18.91,457
18.92,504
18.93,671
18.94,634
18.95,497
18.96,390
18.97,385
18.98,422
18.99,455
19,513
19.01,494
19.02,489
19.03,531
19.04,525
19.05,537
19.06,531
19.07,595
19.08,589
19.09,555
19.1,569
19.11,594
19.12,550
19.13,572
19.14,563
19.15,526
19.16,534
19.17,500
19.18,471
19.19,500
